监测时间,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3监测浓度(μg/m³),CO监测浓度(mg/m³),温度(℃),湿度(%),气压(MBar),风速(m/s),风向(°),云量,长波辐射（W/m²）
2019-7-29 12:00,4,24,32,17,102,0.8,32.3,64,1005.3,1.2,319.1,0.705888,425.222
2019-7-29 13:00,4,16,33,18,144,0.7,33.1,59,1004.4,0.9,175,0.588164,440.309
2019-7-29 14:00,9,29,46,17,121,0.8,32,65,1003.4,1.8,243.1,0.500292,431.469
2019-7-29 15:00,26,42,46,22,94,0.8,31,70,1002.9,1.3,319.2,0.925891,439.301
2019-7-29 16:00,12,45,39,23,111,0.9,30.4,74,1003,1,56.1,0.448013,439.401
2019-7-29 17:00,5,40,49,28,124,0.9,30.7,71,1003.2,1.7,93.1,0.36784,466.413
2019-7-29 18:00,3,25,30,33,44,0.7,26.9,83,1004.2,2.5,86.8,0.506096,441.469
2019-7-29 19:00,2,37,4,2,18,0.8,26.4,90,1004.5,1.3,82.4,0.500566,443.917
2019-7-29 20:00,2,44,10,9,4,0.8,26.5,92,1004.7,1.3,30.8,0.887473,445.845
2019-7-29 21:00,2,41,16,9,0,0.9,26.8,91,1005.1,1.6,49.4,0.580644,451.039
2019-7-29 22:00,3,31,6,13,1,0.8,26.7,88,1005.6,1.4,58.3,0.784164,452.929
2019-7-29 23:00,4,29,10,7,0,0.8,26.8,87,1005.6,1.2,50.1,0.78259,463.54
2019-7-30 0:00,5,29,7,2,0,0.8,26.8,86,1005.3,1.4,48.9,0.825706,458.799
2019-7-30 1:00,5,28,16,3,0,0.8,26.8,86,1004.7,1.4,40,0.624332,443.513
2019-7-30 2:00,6,27,18,0,0,0.8,26.8,86,1003.7,1.6,49.3,0.776802,450.609
2019-7-30 3:00,6,27,20,4,0,0.8,26.7,86,1003.4,1.5,50.6,0.810419,433.377
2019-7-30 4:00,6,27,18,4,0,0.8,26.7,87,1003.4,1.2,35.6,0.559833,435.096
2019-7-30 5:00,7,27,28,6,0,0.8,26.8,87,1003.4,1.5,40.8,0.80834,441.579
2019-7-30 6:00,7,27,24,6,2,0.8,26.9,87,1003.6,1.4,37.6,0.589983,437.714
2019-7-30 7:00,7,25,26,7,5,0.9,27.5,83,1003.9,1.7,41.1,0.595942,431.996
2019-7-30 8:00,8,22,25,7,15,0.8,28.7,77,1004.2,2.3,51.1,0.696867,430.223
2019-7-30 9:00,6,23,33,8,32,0.8,29.7,73,1004.1,2.8,58.7,0.836773,449.194
2019-7-30 10:00,4,22,46,11,73,0.7,30.3,70,1004.4,2.8,65.6,0.836773,449.194
2019-7-30 11:00,3,16,25,12,81,0.7,31.2,66,1003.9,2.9,70.3,0.676698,451.232
2019-7-30 12:00,2,19,36,7,74,0.7,28.9,77,1003.8,2.7,94.4,0.560382,431.619
2019-7-30 13:00,2,22,22,11,51,0.8,28,85,1002.9,0.6,28.6,0.509257,439.654
2019-7-30 14:00,2,20,—,6,111,0.7,31,71,1002.3,2.2,77.7,0.385294,440.792
2019-7-30 15:00,4,14,—,3,98,0.7,32.4,62,1001.6,3.2,95,0.181335,441.36
2019-7-30 16:00,3,17,—,12,76,0.6,32.7,57,1001.2,2.9,90.2,0.633667,466.745
2019-7-30 17:00,2,24,—,10,50,0.8,31.9,60,1001,2,107.6,0.0271761,467.44
2019-7-30 18:00,2,28,—,7,36,0.7,31.5,63,1001.3,1.9,111.6,0,445.136
2019-7-30 19:00,2,44,—,4,13,0.8,30.7,68,1001.7,1.4,92.2,0,448.406
2019-7-30 20:00,3,37,—,10,16,0.8,30.6,66,1002.4,1.9,89.3,0.788013,469.628
2019-7-30 21:00,3,32,—,7,16,0.8,30,69,1003.3,1.9,71.6,0.770564,441.032
2019-7-30 22:00,3,31,—,7,16,0.8,29.5,72,1003.8,2,60.9,0.53506,438.507
2019-7-30 23:00,3,19,—,6,25,0.7,29.4,70,1003.8,2.2,61.1,0.437229,439.93
2019-7-31 0:00,3,23,6,7,18,0.8,29,71,1003.3,1.6,67,0.43986,436.82
2019-7-31 1:00,3,30,13,6,9,0.8,28.9,73,1002.8,1.6,44,0.373097,431.799
2019-7-31 2:00,5,33,19,7,3,0.8,28.5,77,1002.1,1.6,31.1,0.17953,429.154
2019-7-31 3:00,5,24,23,9,10,0.8,28.4,76,1001.8,1.9,49.1,0.202062,426.911
2019-7-31 4:00,6,26,21,5,7,0.8,28.1,76,1001.1,2.2,44.2,0.198643,426.6
2019-7-31 5:00,6,26,13,2,6,0.8,27.9,76,1001.1,2.3,50.3,0.180402,424.781
2019-7-31 6:00,7,26,19,5,7,0.8,27.8,77,1001,2.1,37.8,0.134578,422.633
2019-7-31 7:00,7,24,30,4,9,0.8,28.2,75,1001.8,2.4,55.5,0.506815,421.19
2019-7-31 8:00,5,29,40,6,5,0.9,26.9,84,1002.3,2.1,59.4,0.55642,422.201
2019-7-31 9:00,4,23,17,6,14,0.8,27,86,1002.2,2.7,57.5,0.185267,423.606
2019-7-31 10:00,4,25,—,—,20,0.8,27.6,82,1002.4,2.7,50.5,0.0683174,424.938
2019-7-31 11:00,3,23,—,—,24,0.8,27.9,82,1002,2.8,46.5,0.0683174,424.938
2019-7-31 12:00,3,19,38,8,44,0.8,28.2,79,1001.5,3.6,56.9,0.0407493,426.125
2019-7-31 13:00,2,16,24,5,45,0.8,27.7,82,1001.1,3.5,60.8,0,428.82
2019-7-31 14:00,3,24,18,4,21,0.8,26.6,89,1001.2,2.7,56.8,0,435.856
2019-7-31 15:00,2,21,16,3,17,0.8,26.2,90,1000.3,3.5,49.7,0.331472,444.202
2019-7-31 16:00,3,20,10,5,14,0.8,25.9,90,999.9,3.5,52,0.0813259,444.663
2019-7-31 17:00,2,21,13,1,9,0.8,25.8,91,999.3,3.3,52.4,0.243736,441.709
2019-7-31 18:00,2,20,9,1,10,0.8,25.8,90,999.4,3.6,60.3,0.324394,441.684
2019-7-31 19:00,2,26,10,3,7,0.8,25.7,91,999.8,2.6,54,0.0123047,447.58
2019-7-31 20:00,3,28,12,3,4,0.9,25.8,91,1000.4,1.8,53.9,0.16811,447.468
2019-7-31 21:00,3,28,17,2,6,0.9,25.6,93,1000.6,2.2,44.7,0.856864,444.456
2019-7-31 22:00,3,26,11,1,8,0.8,25.6,93,1000.6,2.3,54.5,0.657012,446.057
2019-7-31 23:00,3,28,16,3,8,0.9,25.8,92,1000.4,2.8,57.4,0.630934,447.103
2019-8-1 0:00,2,18,9,5,17,0.8,25.6,92,1000.1,3.1,58.9,0.596685,450.034
2019-8-1 1:00,2,15,6,3,24,0.8,25.4,92,999.2,3.3,57.3,0.547472,442.557
2019-8-1 2:00,2,14,8,-1,27,0.8,25.2,93,998.6,3.4,56.9,0.456166,436.806
2019-8-1 3:00,2,12,4,2,29,0.8,25.2,92,998,3.4,54.5,0.521883,434.576
2019-8-1 4:00,3,12,4,2,31,0.7,25.3,89,997.3,3.4,54.9,0.517828,432.913
2019-8-1 5:00,3,12,10,0,34,0.7,25.7,85,997.5,3.5,55.1,0.462141,435.407
2019-8-1 6:00,3,13,7,0,34,0.7,25.9,84,997.4,3.8,55,0.643856,428.53
2019-8-1 7:00,2,16,10,-1,29,0.7,25.8,86,997.8,4.1,58.2,0.42919,427.728
2019-8-1 8:00,2,19,18,1,26,0.8,25.4,91,998.1,4,61.7,0.367531,423.599
2019-8-1 9:00,2,22,7,2,25,0.8,25.4,94,998.5,3.4,65.9,0.232121,422.742
2019-8-1 10:00,2,26,16,1,21,0.8,25.5,94,998.5,3.7,63.2,0.299006,420.823
2019-8-1 11:00,2,30,9,-1,21,0.8,25.5,95,998.6,2.5,77.3,0.134937,430.655
2019-8-1 12:00,2,26,12,0,30,0.8,25.2,95,998.5,3.4,64.4,0.134937,430.655
2019-8-1 13:00,2,23,11,2,32,0.8,25.4,94,997.9,3.3,59.3,0.0853169,433.972
2019-8-1 14:00,2,20,9,3,34,0.8,25.4,94,997.4,4,67.6,0,432.634
2019-8-1 15:00,2,19,6,1,39,0.8,25.3,94,997.1,4.1,69.3,0.00872215,436.196
2019-8-1 16:00,2,21,6,-3,37,0.8,26.1,91,997,3.6,64.6,0.0815467,435.028
2019-8-1 17:00,2,27,13,1,26,0.8,26,91,997,3.5,63.2,0.0253885,429.766
2019-8-1 18:00,2,29,8,4,19,0.9,25.9,92,997.3,2.8,67.5,0.0580279,438.499
2019-8-1 19:00,2,31,12,4,20,0.8,26.1,91,997.7,2.9,65.3,0.385396,423.57
2019-8-1 20:00,2,28,11,3,20,0.8,26.1,92,998.2,2.9,67.9,0.176193,423.893
2019-8-1 21:00,2,28,12,2,22,0.9,25.9,94,998.5,2.7,69.1,0.14753,425.379
2019-8-1 22:00,2,27,11,2,22,0.8,26.2,94,998.9,2.9,66.4,0.0914723,426.603
2019-8-1 23:00,2,24,12,5,25,0.8,26.2,93,998.7,2.4,69.7,0.829094,423.056
2019-8-2 0:00,2,17,19,4,32,0.8,26.2,94,998.9,2.3,82.6,0.770799,439.242
2019-8-2 1:00,2,10,6,4,47,0.7,26.1,92,998.5,1.8,99.8,0.104576,431.641
2019-8-2 2:00,2,14,6,1,36,0.8,26.1,94,998.3,2,86.7,0.224954,431.608
2019-8-2 3:00,2,13,2,-4,41,0.8,25.9,95,998.3,1.8,104.6,0.283307,429.669
2019-8-2 4:00,2,12,8,-4,43,0.8,26,93,998.1,2.3,100.1,0.188127,427.047
2019-8-2 5:00,2,9,8,-2,48,0.8,25.4,93,998.7,2.5,117.4,0.343448,422.655
2019-8-2 6:00,2,23,8,0,29,0.8,25.5,94,998.8,1.7,85.2,0.41135,421.451
2019-8-2 7:00,2,26,7,0,25,0.8,25.8,94,999.1,2.2,86.3,0.312101,421.384
2019-8-2 8:00,2,22,6,2,30,0.8,26,92,999.6,2.1,97.7,0.242567,421.445
2019-8-2 9:00,3,29,16,1,23,0.8,26,93,1000,2,82.8,0.373166,423.261
2019-8-2 10:00,2,21,9,0,35,0.8,26.4,91,1000.4,2.2,100.6,0.373166,423.261
2019-8-2 11:00,4,22,14,5,35,0.8,27.7,85,1000.3,2.1,94.2,0.147101,429.667
2019-8-2 12:00,3,23,22,5,38,0.8,28.2,80,999.8,2.1,111.8,0.146707,431.289
2019-8-2 13:00,4,16,18,5,58,0.8,28.4,80,999.6,1.8,121.8,0,434.806
2019-8-2 14:00,3,21,20,4,60,0.9,29,78,999.2,2.3,138.6,0.0656592,447.99
2019-8-2 15:00,6,21,24,6,31,0.8,26.8,85,999.2,1.6,230.2,0.0284521,448.612
2019-8-2 16:00,4,16,11,8,36,0.8,25.5,89,999.5,1.5,255.4,0.0882494,444.86
2019-8-2 17:00,2,25,5,5,16,1,25.8,91,999.1,0.4,325,0.996636,456.903
2019-8-2 18:00,3,45,20,3,2,1.2,26.3,91,999.2,0.6,34.1,0.530373,447.972
2019-8-2 19:00,4,53,36,9,4,1.1,27.1,88,999.8,1,83.9,0.648904,448.049
2019-8-2 20:00,3,51,28,11,5,1,27,88,1000.2,1.1,74,0.860519,444.395
2019-8-2 21:00,3,44,29,16,7,0.9,27.1,87,1000.8,1.4,76.4,0.757977,439.054
2019-8-2 22:00,3,35,28,11,11,0.9,27.1,86,1001.3,1.4,81.4,0.608408,440.963
2019-8-2 23:00,4,28,23,12,15,0.8,27.1,84,1001.3,1.6,68.5,0.822951,464.08
2019-8-3 0:00,3,30,25,9,12,0.8,26.7,85,1001.3,1.1,62.8,0.201932,431.67
2019-8-3 1:00,3,33,21,8,7,0.8,26.4,86,1000.8,1.2,53.8,0.0318719,425.522
2019-8-3 2:00,3,33,22,7,9,0.8,26.5,85,1000.5,1.6,58.3,0.256786,426.073
2019-8-3 3:00,3,29,18,3,9,0.8,26.5,85,1000.4,1.4,61.9,0.103464,426.047
2019-8-3 4:00,4,38,24,5,0,0.9,26.2,87,1000,1.4,63.7,0.118839,418.375
2019-8-3 5:00,4,36,28,6,0,0.9,25.8,88,999.9,0.8,56.9,0.20914,417.98
2019-8-3 6:00,4,32,26,5,3,0.9,26.1,87,1000.2,1.5,62.9,0.201524,418.719
2019-8-3 7:00,4,27,21,4,10,0.9,27,84,1000.7,1.8,62.6,0.416076,419.483
2019-8-3 8:00,4,26,22,10,20,0.9,27.7,81,1001,2.4,77.4,0.221595,418.85
2019-8-3 9:00,4,22,18,8,30,0.9,28.2,79,1001.5,2.3,76.2,0.151795,414.122
2019-8-3 10:00,3,22,19,4,48,0.9,28.7,77,1001.6,2.5,70.3,0.0480369,418.672
2019-8-3 11:00,4,26,22,4,66,0.8,28.9,77,1001.6,2.5,66.1,0.0480369,418.672
2019-8-3 12:00,4,20,20,10,94,0.8,29.6,72,1001.4,2.8,80.4,0,429.793
2019-8-3 13:00,3,16,21,7,108,0.8,29.7,71,1000.7,3.1,66.3,0.103493,434.006
2019-8-3 14:00,3,17,26,5,120,0.8,29.9,72,1000.6,3.2,66.2,0.0862896,435.37
2019-8-3 15:00,3,26,25,7,87,0.8,29.1,76,1000.5,3.2,64.6,0.118829,441.561
2019-8-3 16:00,3,29,25,6,56,0.9,28.4,78,1000.3,2.8,59.6,0.0297111,469.633
2019-8-3 17:00,4,36,12,7,43,0.9,28.2,79,999.8,2.3,67.3,0.485114,441.797
2019-8-3 18:00,4,36,24,6,28,0.9,27.7,79,1000,1.8,73.1,0.861749,443.407
2019-8-3 19:00,3,42,11,5,13,0.9,27.3,81,1000.6,1.7,68.5,0.825873,445.757
2019-8-3 20:00,4,54,18,8,2,0.9,27.1,84,1001.3,1,53.6,0.721184,450.464
2019-8-3 21:00,4,56,39,10,0,1,26.9,87,1001.7,1,57.6,0.704417,441.288
2019-8-3 22:00,4,53,28,18,0,1.1,26.7,88,1002.3,1,46.8,0.762335,443.3
2019-8-3 23:00,5,51,41,17,0,1.1,26.6,89,1002.2,1.1,41.8,0.747757,453.854
2019-8-4 0:00,5,49,36,14,0,1.1,26.5,89,1001.9,1.1,31.6,0.710195,441.487
2019-8-4 1:00,6,47,42,18,0,1.1,26.3,90,1001.5,0.9,40.3,0.575182,437.551
2019-8-4 2:00,5,46,40,22,0,1.1,26.2,90,1001.1,1,37.2,0.414415,436.39
2019-8-4 3:00,6,46,42,24,0,1.1,26.3,90,1001,1.2,48.4,0.481387,431.294
2019-8-4 4:00,8,44,40,17,0,1.1,26,90,1000.8,0.9,56.7,0.390681,429.474
2019-8-4 5:00,10,42,41,23,0,1.1,25.8,90,1000.9,0.9,48.4,0.337964,427.829
2019-8-4 6:00,8,41,38,20,1,1.2,26.2,90,1001,0.8,46.4,0.333325,423.865
2019-8-4 7:00,7,39,30,19,7,1,27.6,81,1001.6,1,52.8,0.420329,424.194
2019-8-4 8:00,6,37,33,14,22,1,28.8,75,1001.9,1.4,52,0.36412,423.202
2019-8-4 9:00,6,35,44,14,37,0.9,29,74,1002.1,1.9,74.4,0.30846,420.753
2019-8-4 10:00,6,24,30,12,59,0.8,29.7,70,1002.1,2.3,68.8,0.377806,423.082
2019-8-4 11:00,5,16,28,9,89,0.8,30.4,65,1001.8,2.2,64.7,0.246188,427.193
2019-8-4 12:00,5,14,26,7,131,0.8,31.1,62,1001.6,2.3,56.9,0.246188,427.193
2019-8-4 13:00,5,16,41,12,190,0.8,31.8,61,1001.1,1.9,56.1,0.170217,429.064
2019-8-4 14:00,5,16,48,22,192,0.8,32.2,58,1000.6,1.8,67.1,0,434.098
2019-8-4 15:00,5,18,47,20,207,0.8,32.2,58,1000.3,1.7,102.1,0,435.26
2019-8-4 16:00,4,21,51,23,197,0.8,32,58,999.7,2.2,123.6,0.235184,437.49
2019-8-4 17:00,5,22,42,24,210,0.8,32.1,59,999.4,1.4,110.6,0.298083,437.801
2019-8-4 18:00,5,27,50,28,194,0.9,31.8,61,999.6,1,79,0.630186,442.81
2019-8-4 19:00,4,30,48,29,159,1,30.8,64,999.9,0.7,27.7,0.782679,444.922
2019-8-4 20:00,5,40,38,28,108,1,30.4,67,1000.7,1,0,0.115842,442.212
2019-8-4 21:00,13,46,46,29,53,1.1,30.1,72,1001.3,0.8,252.6,0.561608,443.759
2019-8-4 22:00,8,48,44,26,29,1.2,29.5,75,1001.3,0.8,253,0.874501,476.424
2019-8-4 23:00,9,44,34,26,22,1.1,29,76,1001.2,0.6,347.8,0.60819,443.416
2019-8-5 0:00,7,44,17,24,15,1.1,28.5,76,1001,0.5,349.7,0.692192,444.07
2019-8-5 1:00,6,46,31,24,7,1.1,28.2,78,1001,0.4,343.4,0.410176,433.319
2019-8-5 2:00,5,44,39,21,5,1.1,28,79,1000.8,0.2,232.9,0.403882,434.502
2019-8-5 3:00,5,47,35,17,1,1.1,27.9,80,1000.7,0.3,37,0.494029,428.53
2019-8-5 4:00,5,50,38,19,0,1.1,27.8,83,1000.8,0.3,354.7,0.353304,429.108
2019-8-5 5:00,5,49,42,23,0,1.1,27.5,85,1001.1,0.2,303.6,0.47011,425.737
2019-8-5 6:00,5,48,44,16,2,1.1,27.7,85,1001.7,0.4,314.4,0.621134,421.826
2019-8-5 7:00,7,48,36,22,9,1.1,29,78,1002.2,0.3,322.9,0.713351,421.288
2019-8-5 8:00,8,50,43,27,18,1,29.7,70,1002.6,0.8,39.7,0.605822,420.28
2019-8-5 9:00,8,46,39,21,46,1,31.1,66,1002.8,1,30.7,0.401192,421.537
2019-8-5 10:00,8,49,66,22,75,1,31.8,65,1002.7,1,10.7,0.401192,421.537
2019-8-5 11:00,—,47,70,31,—,1,32.9,61,1002.4,1,33.8,0.287706,429.391
2019-8-5 12:00,8,—,72,32,194,—,33.6,58,1002,1.3,29.9,0.0962964,431.182
2019-8-5 13:00,6,25,62,36,246,0.8,34.1,55,1001.5,1.6,80.3,0,436.849
2019-8-5 14:00,6,21,52,34,266,0.7,34.7,53,1000.7,1.4,54.8,0.1331,439.663
2019-8-5 15:00,6,23,62,33,286,0.7,35.3,52,1000.2,1.2,89.1,0.630912,470.917
2019-8-5 16:00,6,22,64,36,278,0.7,34.7,52,999.8,1.5,116.7,0,440.964
2019-8-5 17:00,5,27,58,37,247,0.8,35.2,51,999.2,0.8,66.8,1,455.953
2019-8-5 18:00,5,51,63,35,206,0.9,34,56,999.2,0.5,61.8,0.888582,450.931
2019-8-5 19:00,6,49,64,30,191,1,33.2,60,999.7,0.6,249.2,0.722143,453.421
2019-8-5 20:00,7,45,65,47,130,0.9,32.8,61,1000.4,1.3,232.5,0.743128,464.898
2019-8-5 21:00,14,29,39,33,102,0.8,32.1,64,1001.4,1.3,291.3,0.740593,440.276
2019-8-5 22:00,7,22,39,20,73,0.8,31,70,1002.3,1.8,269.3,0.694688,441.239
2019-8-5 23:00,6,28,20,15,44,0.7,30.5,72,1002.3,1.1,356.7,0.478573,442.493
2019-8-6 0:00,5,23,12,13,35,0.7,30.4,71,1002,1.3,255.6,0.515009,437.646
2019-8-6 1:00,8,28,9,7,21,0.7,30,72,1001.4,0.7,272.4,0.665101,436.423
2019-8-6 2:00,7,29,22,9,17,0.7,29.7,73,1001.1,0.9,249,0.425784,434.221
2019-8-6 3:00,7,26,22,13,18,0.6,29.2,77,1001.2,0.8,259.1,0.241431,431.84
2019-8-6 4:00,9,27,28,8,16,0.6,29.1,76,1001.3,0.8,261,0.419036,427.71
2019-8-6 5:00,22,37,23,9,6,0.7,28.9,77,1001.4,0.5,273.2,0.520326,426.943
2019-8-6 6:00,22,38,23,6,5,0.7,28.9,77,1001.8,0.4,266.4,0.634736,425.126
2019-8-6 7:00,11,33,24,8,11,0.8,29.7,75,1002.1,0.7,102.8,0.620576,423.832
2019-8-6 8:00,11,28,24,10,35,0.8,31.1,68,1002.2,0.8,254.8,0.556292,421.714
2019-8-6 9:00,8,30,43,10,48,0.7,31.3,67,1002.3,0.8,96.6,0.522045,422.047
2019-8-6 10:00,10,38,53,11,57,0.8,32,67,1002.1,0.8,41.7,0.515206,427.232
2019-8-6 11:00,11,33,53,21,88,0.8,32.6,64,1001.6,0.7,266.1,0.515206,427.232
2019-8-6 12:00,10,20,47,20,147,0.7,32.9,61,1001,1.2,259.1,0.287727,433.236
2019-8-6 13:00,6,16,46,22,156,0.7,32.5,64,1000.5,1.2,75.2,0.852058,438.095
2019-8-6 14:00,4,39,62,23,138,0.8,30,80,999.9,2.1,79.2,0.334364,439.877
2019-8-6 15:00,5,35,26,36,143,0.7,31.2,70,999.1,2.1,68.9,0.34378,439.737
2019-8-6 16:00,5,26,41,27,178,0.7,32.2,66,998.7,1.6,77.9,0.269225,443.379
2019-8-6 17:00,5,36,51,29,148,0.7,32.1,67,998.9,1.7,96.3,0.937099,445.908
2019-8-6 18:00,5,47,46,24,135,0.8,31.4,70,999.1,0.8,61.8,0.858965,447.319
2019-8-6 19:00,5,78,48,24,78,0.9,31,72,999.8,0.8,77.8,0.289342,445.997
2019-8-6 20:00,6,63,53,38,76,0.9,30.9,75,1000.4,1,87.2,0.712831,445.438
2019-8-6 21:00,6,61,56,36,45,1,30.7,77,1001,1,94.4,0.54379,447.049
2019-8-6 22:00,13,54,43,35,29,0.9,30.6,75,1001.1,1.2,94.8,0.238133,446.949
2019-8-6 23:00,6,48,44,28,32,0.9,30.1,78,1001.4,0.6,4.6,0.139086,440.947
2019-8-7 0:00,7,50,39,27,13,0.8,29.9,80,1000.9,0.6,253.3,0.540125,445.408
2019-8-7 1:00,8,56,44,22,5,0.9,29.7,81,1000.3,0.6,290.7,0.879594,444.858
2019-8-7 2:00,10,54,44,24,4,0.8,29.6,81,1000.4,0.4,73.4,0.527567,443.445
2019-8-7 3:00,6,45,38,22,11,0.8,29.4,80,1000.1,0.5,46.2,0.597842,442.485
2019-8-7 4:00,6,46,35,21,7,0.8,29.2,80,1000.2,0.6,46.1,0.939917,451.092
2019-8-7 5:00,8,70,38,18,0,0.9,28.4,83,1000.2,1.2,44.6,0.629676,430.058
2019-8-7 6:00,7,34,35,27,30,0.8,28.4,81,1000.3,0.8,279.3,0.622584,430.98
2019-8-7 7:00,5,29,13,13,34,0.8,29,79,1000.2,0.9,308,0.741777,430.5
2019-8-7 8:00,6,40,23,12,26,0.9,30.2,74,1000.5,0.6,339.2,0.837339,430.33
2019-8-7 9:00,8,40,44,21,32,0.9,30.5,74,1000.7,0.8,304.7,0.75349,434.646
2019-8-7 10:00,13,44,40,27,66,0.9,31.8,68,1000.5,0.9,331.5,0.70082,425.233
2019-8-7 11:00,10,39,51,27,132,0.8,32.8,63,999.9,1.2,36.3,0.636742,425.791
2019-8-7 12:00,8,32,66,27,201,0.8,33.5,61,999.3,1,34.8,0.636742,425.791
2019-8-7 13:00,9,24,63,40,255,0.8,34.3,59,998.4,1,357.8,0.356786,428.751
2019-8-7 14:00,7,18,55,44,250,0.8,35.2,56,997.3,1,322.3,0.544756,436.081
2019-8-7 15:00,6,18,56,42,266,0.7,35.7,54,996.5,0.9,282.4,0.901378,462.918
2019-8-7 16:00,6,20,67,42,270,0.8,35.9,54,996,0.6,296,0.685244,439.294
2019-8-7 17:00,5,26,68,45,265,0.8,34.3,59,995.8,0.7,254.6,1,467.012
2019-8-7 18:00,4,44,68,50,217,1,33.6,63,996.4,0.5,33.4,0.869654,448.142
2019-8-7 19:00,6,43,64,52,164,0.9,32.9,63,996.6,1.1,58.1,0.456248,466.88
2019-8-7 20:00,4,28,58,35,107,0.7,29.2,76,997.7,1.9,129.1,0.163418,447.94
2019-8-7 21:00,3,18,14,16,85,0.7,26.9,85,998.6,1.4,251.4,0.134234,447.638
2019-8-7 22:00,3,20,—,8,81,0.7,26.4,83,998.6,1.1,244.5,0.154086,447.689
2019-8-7 23:00,5,26,4,5,62,0.7,27,81,998.4,0.8,250.2,0.260598,445.48
2019-8-8 0:00,10,29,8,7,55,0.7,27,81,998.9,1,265.5,0.529281,446.61
2019-8-8 1:00,5,26,9,9,52,0.7,27,84,998.5,0.8,260.1,0.447045,429.194
2019-8-8 2:00,5,29,18,8,46,0.7,27.1,84,997.7,0.8,247.6,0.665415,429.029
2019-8-8 3:00,4,29,23,10,45,0.7,27.2,82,997.3,0.6,258.6,0.43169,424.783
2019-8-8 4:00,4,30,22,14,38,0.7,27,84,997.1,0.5,275.9,0.429372,423.91
2019-8-8 5:00,6,31,28,12,35,0.8,27.1,84,997.2,0.6,274.9,0.418785,423.074
2019-8-8 6:00,6,33,39,24,25,0.8,27.4,86,997.6,0.7,251.5,0.402951,422.142
2019-8-8 7:00,7,41,36,20,22,1,28.6,82,998.1,0.8,279.9,0.445923,421.91
2019-8-8 8:00,13,44,51,31,42,1,29.8,75,998.5,0.9,288.3,0.454685,423.785
2019-8-8 9:00,14,42,49,33,66,0.9,31,69,998.6,1.3,302.3,0.455748,427.585
2019-8-8 10:00,13,36,65,32,126,0.9,32.3,66,998.6,1.2,294.6,0.455748,427.585
2019-8-8 11:00,13,40,80,43,184,0.9,33.4,62,998.2,1.4,303.3,0.271919,432.901
2019-8-8 12:00,11,31,77,48,265,0.9,34.4,60,997.4,1.6,327.1,0.142988,435.294
2019-8-8 13:00,9,21,77,56,268,0.8,35.2,56,996.4,1.4,337.1,0.0383371,437.23
2019-8-8 14:00,7,17,67,54,238,0.8,35.9,54,995.4,1.4,325.3,0.619552,439.538
2019-8-8 15:00,6,16,51,46,230,0.7,36.5,51,994.8,1.2,331.5,0,438.289
2019-8-8 16:00,5,15,52,37,227,0.7,37.3,47,994.3,0.8,336.5,0.37601,465.81
2019-8-8 17:00,5,16,55,28,224,0.7,37.6,47,994.4,0.7,263,1,447.801
2019-8-8 18:00,7,36,70,30,190,0.8,34.9,58,994.8,1.4,257.4,0.514265,464.139
2019-8-8 19:00,7,48,61,38,137,0.9,34,62,995.6,0.7,252.7,0.500735,444.79
2019-8-8 20:00,6,44,59,45,117,0.9,33.5,62,996.4,0.9,252.8,0.20828,443.936
2019-8-8 21:00,9,34,53,41,113,0.8,33.4,61,996.9,1.5,261.6,0.223157,442.35
2019-8-8 22:00,7,29,48,37,86,0.8,31.9,67,997.6,1.7,117.8,0.122675,445.49
2019-8-8 23:00,4,24,55,27,69,0.8,29.3,84,997.2,0.8,224.3,0.145058,441.605
2019-8-9 0:00,4,42,25,31,36,0.9,29.7,84,996.7,0.7,247.7,0.250615,436.52
2019-8-9 1:00,8,45,41,36,34,0.9,29.9,80,996.2,1,259.1,0.340725,435.825
2019-8-9 2:00,8,39,49,37,36,0.9,29.9,80,995.5,1.5,265.2,0.800145,458.999
2019-8-9 3:00,8,38,56,45,28,0.9,30.3,78,995.1,1.5,264.5,0.795178,447.661
2019-8-9 4:00,13,37,46,38,23,0.8,30.4,74,995.1,1.6,280.9,0.656098,425.817
2019-8-9 5:00,15,41,41,27,16,0.8,30,74,995.3,1.3,265.4,0.655057,424.677
2019-8-9 6:00,22,48,48,31,10,0.9,29.9,75,995.7,1,254.5,0.634537,428.437
2019-8-9 7:00,24,45,45,32,19,0.9,30.9,71,996.6,1.2,292.3,0.660102,430.156
2019-8-9 8:00,20,40,47,27,38,0.9,32.3,65,997,1.2,310.9,0.746289,428.06
2019-8-9 9:00,16,39,60,27,61,0.9,33.4,62,997.2,1.6,319.2,0.737285,427.405
2019-8-9 10:00,11,30,70,30,121,0.8,34.5,58,997,1.8,323.5,0.690094,427.842
2019-8-9 11:00,8,20,64,30,186,0.8,35.4,55,996.5,1.9,348.2,0.690094,427.842
2019-8-9 12:00,7,16,61,41,217,0.8,36.7,51,995.9,1.6,307.9,0.592699,432.905
2019-8-9 13:00,6,13,60,39,216,0.8,37.3,48,995.2,1.6,311.4,0.545764,438.23
2019-8-9 14:00,6,12,57,40,212,0.7,37.7,47,994.5,1.6,303.2,1,467.056
2019-8-9 15:00,6,14,60,37,230,0.7,37.7,48,993.8,1.7,269,0,442.81
